City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,siteki,-26.45,31.95,14.9,69,26,3.93,SZ,1694625007
277,akureyri,65.6835,-18.0878,12.96,41,20,3.6,IS,1694625008
278,tyukalinsk,55.8732,72.1967,10.67,68,70,3.15,RU,1694625009
279,mahalapye,-23.1041,26.8142,16.74,57,0,7.05,BW,1694625009
280,castelldefels,41.2779,1.9703,26.87,71,20,4.12,ES,1694625009
281,severo-yeniseyskiy,60.3725,93.0408,6.55,76,92,0.33,RU,1694625010
282,mili,6.0815,171.735,28.14,72,89,4.48,MH,1694625010
283,vikhorevka,56.1201,101.1636,8.47,92,73,1.34,RU,1694625010
284,ar rutbah,33.0381,40.2848,29.62,22,0,5.79,IQ,1694625010
285,purwa,26.4667,80.7833,30.01,76,88,1.31,IN,1694625011
286,komatipoort,-25.4332,31.9548,16.7,60,52,3.22,ZA,1694625011
287,tauranga,-37.6861,176.1667,12.14,75,3,3.13,NZ,1694625011
288,margate,51.3813,1.3862,19.06,72,41,1.79,GB,1694624939
289,shimoda,34.6667,138.95,23.39,84,52,1.08,JP,1694625012
290,badger,64.8,-147.5333,7.62,84,75,0.0,US,1694625017
291,zalanga,10.6143,10.1765,28.95,57,16,2.7,NG,1694625018
292,grand island,40.925,-98.342,22.97,45,0,5.66,US,1694625018
293,taoudenni,22.6783,-3.9836,45.31,8,26,2.17,ML,1694625019
294,linda,39.1277,-121.5508,29.86,55,0,1.54,US,1694625019
295,san rafael,-34.6177,-68.3301,15.73,24,65,3.63,AR,1694624914
296,pisco,-13.7,-76.2167,23.03,64,20,7.72,PE,1694625019
297,wenling,28.3669,121.36,25.11,84,100,1.29,CN,1694625019
298,ostersund,63.1792,14.6357,8.67,76,20,6.17,SE,1694625020
299,bereket,39.2446,55.5154,25.34,24,3,3.97,TM,1694625020
300,al jawf,29.5,38.75,29.7,25,0,4.76,SA,1694625020
301,zouerate,22.7187,-12.4521,37.25,19,13,3.5,MR,1694625020
302,paharpur,32.1038,70.9724,36.66,23,0,2.7,PK,1694625021
303,dili,-8.5586,125.5736,24.55,69,8,2.37,TL,1694624955
304,korla,41.7597,86.1469,21.99,40,57,9.54,CN,1694625021
305,lebu,-37.6167,-73.65,11.61,83,100,6.88,CL,1694625021
306,tazacorte,28.629,-17.9293,26.54,65,20,5.14,ES,1694625022
307,grand falls-windsor,48.9332,-55.6649,14.82,92,100,1.43,CA,1694625022
308,usogorsk,63.4106,48.6872,13.24,78,83,3.63,RU,1694625022
309,ambalangoda,6.2355,80.0538,25.94,86,95,2.99,LK,1694625022
310,williamsburg,37.2707,-76.7075,28.23,77,9,0.89,US,1694624727
311,sandnessjoen,66.0217,12.6316,9.06,76,40,3.09,NO,1694625023
312,dakhla,23.6848,-15.958,21.92,81,9,9.08,EH,1694625023
313,nadi,-17.8,177.4167,22.0,88,20,1.03,FJ,1694625023
314,nurabad,34.0734,47.9725,23.04,23,25,1.92,IR,1694625023
315,ancud,-41.8697,-73.8203,9.06,89,100,8.57,CL,1694625024
316,yuryuzan',54.8633,58.4219,14.0,73,98,0.89,RU,1694625024
317,cidade velha,14.9167,-23.6167,28.81,73,63,3.97,CV,1694625024
318,mcpherson,38.3708,-97.6642,25.54,43,99,5.51,US,1694625024
319,charters towers,-20.1,146.2667,12.59,82,23,2.59,AU,1694625025
320,lerwick,60.1545,-1.1494,11.0,56,82,3.76,GB,1694625025
321,altai,46.3722,96.2583,10.46,53,100,2.8,MN,1694625025
322,san bernardo,-33.6,-70.7167,15.27,58,99,0.63,CL,1694625025
323,valparaiso,-33.0393,-71.6273,16.11,67,100,5.34,CL,1694624819
324,salalah,17.0151,54.0924,26.9,85,63,2.05,OM,1694625026
325,keelung,25.1283,121.7419,28.92,77,88,1.16,TW,1694625026
326,decize,46.8285,3.4619,23.82,80,99,0.87,FR,1694625026
327,havre,49.5833,0.3333,20.19,77,20,5.14,FR,1694625027
328,vila velha,-20.3297,-40.2925,28.97,73,20,7.2,BR,1694625027
329,narsipatnam,17.6667,82.6167,24.8,88,100,2.23,IN,1694625027
330,kitimat,54.0524,-128.6534,13.71,99,98,2.24,CA,1694625027
331,selfoss,63.9331,-20.9971,11.69,72,100,4.97,IS,1694625027
332,tamiahua,21.2667,-97.45,31.88,58,0,3.09,MX,1694625028
333,raja,8.4596,25.678,23.27,90,24,0.98,SS,1694625028
334,namtsy,62.7161,129.6658,4.04,91,86,2.16,RU,1694625028
335,cooper's town,26.8667,-77.5167,28.83,72,66,6.87,BS,1694625028
336,basavana bagevadi,16.5833,75.9667,24.57,72,100,7.51,IN,1694624850
337,huarmey,-10.0681,-78.1522,21.51,71,47,5.15,PE,1694625029
338,tanumah,27.1,44.1333,35.03,11,15,4.52,SA,1694625029
339,afif,23.9065,42.9172,32.82,12,83,2.4,SA,1694625030
340,kailua-kona,19.6406,-155.9956,26.44,72,0,2.68,US,1694625030
341,dudinka,69.4058,86.1778,11.46,90,100,8.37,RU,1694625030
342,jayapura,-2.5333,140.7,25.66,90,94,3.3,ID,1694625030
343,seven pagodas,12.6264,80.1722,27.25,81,100,6.88,IN,1694625031
344,banda aceh,5.5577,95.3222,27.29,85,100,3.41,ID,1694624740
345,beledweyne,4.7358,45.2036,31.38,42,88,9.94,SO,1694625031
346,cole harbour,44.6724,-63.4751,22.66,94,100,2.68,CA,1694625031
347,masterton,-40.9597,175.6575,8.82,90,12,3.03,NZ,1694625031
348,xilitla,21.3333,-98.9667,30.95,41,0,2.62,MX,1694625032
349,vallenar,-28.5708,-70.7581,21.99,9,89,3.02,CL,1694625032
350,berdigestyakh,62.0989,126.6992,6.17,91,100,2.67,RU,1694625032
351,manturovo,58.3353,44.7619,13.0,72,7,1.43,RU,1694625033
352,pariaman,-0.619,100.12,24.03,87,24,2.02,ID,1694625033
353,kalabo,-14.97,22.6814,28.6,22,9,2.91,ZM,1694625034
354,el nido,11.1858,119.3956,26.87,84,100,5.94,PH,1694625034
355,bamboo flat,11.7,92.7167,27.52,84,97,7.28,IN,1694625034
356,vorkuta,67.5,64.0,11.57,75,58,6.11,RU,1694625034
357,mankoeng,-23.9,29.8167,9.76,72,10,2.46,ZA,1694625035
358,bubaque,11.2833,-15.8333,28.4,79,97,5.83,GW,1694625035
359,sitka,57.0531,-135.33,11.94,82,100,2.06,US,1694625020
360,puerto armuelles,8.2833,-82.8667,31.99,72,29,0.45,PA,1694625036
361,sao tome,0.3365,6.7273,25.34,81,100,3.88,ST,1694625036
362,okhotsk,59.3833,143.3,6.39,88,81,2.96,RU,1694625036
363,quelimane,-17.8786,36.8883,22.06,81,36,2.43,MZ,1694625036
364,olovyannaya,50.95,115.5667,8.3,51,8,1.42,RU,1694625037
